date,team,score
2018-09-23,rown,99.22
2018-09-23,griz,NA
2018-09-30,agus,106.06
2018-09-30,bill,134.06
2018-09-30,cart,84.5
2018-09-30,char,113.46
2018-09-30,coln,90.52
2018-09-30,kier,69.48
2018-09-30,kyle,103.44
2018-09-30,nick,99.3
2018-09-30,pepe,92.3
2018-09-30,rown,62.76
2018-09-30,griz,NA
2018-10-07,agus,90.4
2018-10-07,bill,96.8
2018-10-07,cart,104.26
2018-10-07,char,71.9
2018-10-07,coln,68.48
2018-10-07,kier,135.8
2018-10-07,kyle,108.1
2018-10-07,nick,104.9
2018-10-07,pepe,70.68
2018-10-07,rown,87.94
2018-10-07,griz,NA
2018-10-14,agus,111.2
2018-10-14,bill,110.98
2018-10-14,cart,118.32
2018-10-14,char,97.56
2018-10-14,coln,63.8
2018-10-14,kier,89.66
2018-10-14,kyle,138.46
2018-10-14,nick,98.14
2018-10-14,pepe,76.8
2018-10-14,rown,78
2018-10-14,griz,NA
2018-10-21,agus,94
2018-10-21,bill,114.42
2018-10-21,cart,123.46
2018-10-21,char,74.06
2018-10-21,coln,79.36
2018-10-21,kier,69.52
2018-10-21,kyle,88.84
2018-10-21,nick,69.48
2018-10-21,pepe,94.26
2018-10-21,rown,88.28
2018-10-21,griz,NA
2018-10-28,agus,89.74
2018-10-28,bill,109.52
2018-10-28,cart,114.06
2018-10-28,char,94.04
2018-10-28,coln,105.64
2018-10-28,kier,110.9
2018-10-28,kyle,99.26
2018-10-28,nick,118.2
2018-10-28,pepe,93.16
2018-10-28,rown,94.96
2018-10-28,griz,NA
2018-11-04,agus,85.92
2018-11-04,bill,148.7
2018-11-04,cart,81.16
2018-11-04,char,108.08
2018-11-04,coln,77.76
2018-11-04,kier,62.34
2018-11-04,kyle,103.06
2018-11-04,nick,118.84
2018-11-04,pepe,101.48
2018-11-04,rown,61.46
2018-11-04,griz,NA
2018-11-11,agus,80.94
2018-11-11,bill,152.76
2018-11-11,cart,90.42
2018-11-11,char,100.14
2018-11-11,coln,91.76
2018-11-11,kier,110.8
2018-11-11,kyle,147.1
2018-11-11,nick,143.02
2018-11-11,pepe,118.52
2018-11-11,rown,61.96
2018-11-11,griz,NA
2018-11-18,agus,63.38
2018-11-18,bill,164.72
2018-11-18,cart,105.94
2018-11-18,char,85.74
2018-11-18,coln,103.68
2018-11-18,kier,114.92
2018-11-18,kyle,95.48
2018-11-18,nick,153.62
2018-11-18,pepe,106.98
2018-11-18,rown,57.1
2018-11-18,griz,NA
NA,agus,NA
NA,agus,NA
NA,agus,NA
NA,agus,NA
NA,agus,NA
NA,bill,NA
NA,bill,NA
NA,bill,NA
NA,bill,NA
NA,bill,NA
NA,cart,NA
NA,cart,NA
NA,cart,NA
NA,cart,NA
NA,cart,NA
NA,char,NA
NA,char,NA
NA,char,NA
NA,char,NA
NA,char,NA
NA,coln,NA
NA,coln,NA
NA,coln,NA
NA,coln,NA
NA,coln,NA
NA,kier,NA
NA,kier,NA
NA,kier,NA
NA,kier,NA
NA,kier,NA
NA,kyle,NA
NA,kyle,NA
NA,kyle,NA
NA,kyle,NA
NA,kyle,NA
NA,nick,NA
NA,nick,NA
NA,nick,NA
NA,nick,NA
NA,nick,NA
NA,pepe,NA
NA,pepe,NA
NA,pepe,NA
NA,pepe,NA
NA,pepe,NA
NA,rown,NA
NA,rown,NA
NA,rown,NA
NA,rown,NA
NA,rown,NA
NA,griz,NA
NA,griz,NA
NA,griz,NA
NA,griz,NA
NA,griz,NA
